Date,Transaction_Number,City
01/2011,400,Nabatieh
02/2011,462,Nabatieh
03/2011,545,Nabatieh
04/2011,467,Nabatieh
05/2011,577,Nabatieh
06/2011,562,Nabatieh
07/2011,560,Nabatieh
08/2011,510,Nabatieh
09/2011,606,Nabatieh
10/2011,696,Nabatieh
11/2011,490,Nabatieh
12/2011,812,Nabatieh
01/2012,437,Nabatieh
02/2012,526,Nabatieh
03/2012,576,Nabatieh
04/2012,493,Nabatieh
05/2012,594,Nabatieh
06/2012,549,Nabatieh
07/2012,513,Nabatieh
08/2012,534,Nabatieh
09/2012,699,Nabatieh
10/2012,613,Nabatieh
11/2012,503,Nabatieh
12/2012,731,Nabatieh
01/2013,486,Nabatieh
02/2013,401,Nabatieh
03/2013,486,Nabatieh
04/2013,624,Nabatieh
05/2013,539,Nabatieh
06/2013,474,Nabatieh
07/2013,474,Nabatieh
08/2013,477,Nabatieh
09/2013,640,Nabatieh
10/2013,493,Nabatieh
11/2013,547,Nabatieh
12/2013,601,Nabatieh
01/2014,411,Nabatieh
02/2014,505,Nabatieh
03/2014,577,Nabatieh
04/2014,661,Nabatieh
05/2014,613,Nabatieh
06/2014,630,Nabatieh
07/2014,480,Nabatieh
08/2014,656,Nabatieh
09/2014,701,Nabatieh
10/2014,586,Nabatieh
11/2014,531,Nabatieh
12/2014,577,Nabatieh
01/2015,372,Nabatieh
02/2015,462,Nabatieh
03/2015,515,Nabatieh
04/2015,493,Nabatieh
05/2015,527,Nabatieh
06/2015,535,Nabatieh
07/2015,407,Nabatieh
08/2015,597,Nabatieh
09/2015,568,Nabatieh
10/2015,587,Nabatieh
11/2015,587,Nabatieh
12/2015,653,Nabatieh
01/2016,487,Nabatieh
02/2016,533,Nabatieh
03/2016,559,Nabatieh
04/2016,589,Nabatieh
05/2016,482,Nabatieh
06/2016,437,Nabatieh
07/2016,464,Nabatieh
08/2016,621,Nabatieh
09/2016,531,Nabatieh
10/2016,578,Nabatieh
11/2016,637,Nabatieh
12/2016,588,Nabatieh
