Date,Transaction_Value,City
01/2011,34.869,"Tripoli, Akkar"
02/2011,30.049,"Tripoli, Akkar"
03/2011,32.345,"Tripoli, Akkar"
04/2011,34.863,"Tripoli, Akkar"
05/2011,38.696,"Tripoli, Akkar"
06/2011,32.268,"Tripoli, Akkar"
07/2011,34.383,"Tripoli, Akkar"
08/2011,37.597,"Tripoli, Akkar"
09/2011,35.774,"Tripoli, Akkar"
10/2011,40.423,"Tripoli, Akkar"
11/2011,33.097,"Tripoli, Akkar"
12/2011,42.233,"Tripoli, Akkar"
01/2012,34.57,"Tripoli, Akkar"
02/2012,26.729,"Tripoli, Akkar"
03/2012,43.045,"Tripoli, Akkar"
04/2012,34.217,"Tripoli, Akkar"
05/2012,37.216,"Tripoli, Akkar"
06/2012,37.2,"Tripoli, Akkar"
07/2012,33.045,"Tripoli, Akkar"
08/2012,23.344,"Tripoli, Akkar"
09/2012,50.2,"Tripoli, Akkar"
10/2012,35.759,"Tripoli, Akkar"
11/2012,29.975,"Tripoli, Akkar"
12/2012,52.28,"Tripoli, Akkar"
01/2013,23.928,"Tripoli, Akkar"
02/2013,32.194,"Tripoli, Akkar"
03/2013,37.806,"Tripoli, Akkar"
04/2013,26.529,"Tripoli, Akkar"
05/2013,53.196,"Tripoli, Akkar"
06/2013,28.844,"Tripoli, Akkar"
07/2013,36.804,"Tripoli, Akkar"
08/2013,29.439,"Tripoli, Akkar"
09/2013,28.541,"Tripoli, Akkar"
10/2013,41.914,"Tripoli, Akkar"
11/2013,33.148,"Tripoli, Akkar"
12/2013,29.285,"Tripoli, Akkar"
01/2014,29.553,"Tripoli, Akkar"
02/2014,35.601,"Tripoli, Akkar"
03/2014,24.077,"Tripoli, Akkar"
04/2014,38.162,"Tripoli, Akkar"
05/2014,41.57,"Tripoli, Akkar"
06/2014,36.204,"Tripoli, Akkar"
07/2014,33.634,"Tripoli, Akkar"
08/2014,44.526,"Tripoli, Akkar"
09/2014,39.738,"Tripoli, Akkar"
10/2014,40.437,"Tripoli, Akkar"
11/2014,28.159,"Tripoli, Akkar"
12/2014,32.312,"Tripoli, Akkar"
01/2015,33.171,"Tripoli, Akkar"
02/2015,25.535,"Tripoli, Akkar"
03/2015,26.992,"Tripoli, Akkar"
04/2015,23.727,"Tripoli, Akkar"
05/2015,36.065,"Tripoli, Akkar"
06/2015,27.172,"Tripoli, Akkar"
07/2015,33.856,"Tripoli, Akkar"
08/2015,32.35,"Tripoli, Akkar"
09/2015,34.319,"Tripoli, Akkar"
10/2015,36.33,"Tripoli, Akkar"
11/2015,36.712,"Tripoli, Akkar"
12/2015,32.538,"Tripoli, Akkar"
01/2016,28.713,"Tripoli, Akkar"
02/2016,34.828,"Tripoli, Akkar"
03/2016,39.424,"Tripoli, Akkar"
04/2016,39.705,"Tripoli, Akkar"
05/2016,29.661,"Tripoli, Akkar"
06/2016,30.813,"Tripoli, Akkar"
07/2016,37.235,"Tripoli, Akkar"
08/2016,33.724,"Tripoli, Akkar"
09/2016,25.447,"Tripoli, Akkar"
10/2016,32.385,"Tripoli, Akkar"
11/2016,39.532,"Tripoli, Akkar"
12/2016,42.618,"Tripoli, Akkar"
