Address,Avg Rent $/night,Median Rent $/night,Max Rent $/night,Min Rent $/night,Listings Count
"Apartments for Rent in Bayrut, Lebanon",65,65,75,56,2
"Apartments for Rent in Jal El Dib, Lebanon",60,60,60,60,1
"Apartments for Rent in Jbeil, Lebanon",50,50,50,50,1
"Apartments for Rent in LB, Lebanon",75,75,75,75,2
"Batroun, Lebanon",85,85,85,85,1
"Beqaa Governorate, Lebanon",45,45,45,45,1
"Chouf, Lebanon",50,50,50,50,1
"Guest suites for Rent in Bayrut, Lebanon",69,69,69,69,1
"Guesthouses for Rent in Maasser el chouf, Lebanon",40,40,40,40,1
"Jbeil district, Lebanon",518,518,518,518,1
"Kesrouan, Lebanon",70,70,70,70,1
"Kfardebian, Lebanon",233,233,233,233,1
"Matn, Lebanon",25,25,25,25,1
"Villas for Rent in LB, Lebanon",350,350,350,350,1
