City,Avg Rent $/year,Median Rent $/year,Max Rent $/year,Min Rent $/year,Listings Count
Aamchit,12450,7200,50000,4800,14
Aatchane,15500,15500,18000,13000,2
Achkout,7500,7500,9000,6000,2
Achrafieh,27735,20000,390000,6000,264
Adlieh,12000,12000,12000,12000,1
Adma,13950,12000,36000,4500,22
Adonis,7000,6000,9600,5400,3
Ain Aar,13200,13200,13200,13200,1
Ain Al Remmane,13200,13200,13200,13200,1
Ain Saadeh,29280,15000,72000,11400,5
Ajaltoun,9900,7800,18000,6000,4
Antelias,51371,16200,350000,4200,28
Aoukar,22846,10200,72000,4800,13
Arayia,45000,45000,45000,45000,1
Baabda,30480,24000,44400,18000,5
Baabdat,42600,45000,72000,8400,4
Badaro,20841,20200,36000,6000,24
Ballouneh,7800,7800,7800,7800,1
Barbara,28000,24000,48000,12000,3
Batroun,16564,10000,130000,3000,51
Beit Chabeb,72000,72000,72000,72000,1
Beit el Chaar,12600,12000,24000,7200,5
Berj Hammoud,42720,36000,90000,3600,5
Bikfaya,11700,11700,18000,5400,2
Biyada,22500,19500,36000,15000,4
Blat,32180,12000,144000,4200,10
Bouar,6000,6000,7200,4800,2
Bouchrieh,25267,12000,200000,3600,23
Broumana,20450,17400,35000,12000,4
Bsalim,42466,43000,70000,10800,6
Chekka,105000,105000,150000,60000,2
Chiyah,280000,280000,280000,280000,1
Clemenceau,60000,60000,60000,60000,1
Dbayeh,53990,28500,450000,6600,42
Deir Al Qamar,40000,40000,40000,40000,1
Dekweneh,29107,12500,140000,5400,26
Dik El Mehdi,50025,13800,300000,6000,8
Dora,21437,8400,60000,6500,8
Down Town,68548,36500,700000,5400,86
Edde,30133,12000,70000,8400,3
Elissar,55066,15600,140000,9600,3
Fakra,24106,18000,64000,6000,16
Fanar,18000,18000,18000,18000,1
Faraya,13800,12000,30000,9000,12
Fatqa,14120,12000,36000,3600,5
Faytroun,18000,18000,18000,18000,1
Fidar,18350,18000,29000,8400,4
Fiyadiye,29000,19000,90000,12000,6
Furn El Chebbak,16028,15000,30000,6000,7
Ghadir,12000,12000,12000,12000,1
Ghazir,28847,12000,150000,3600,17
Gherfine,7200,7200,7200,7200,1
Halat,22188,9600,150000,4800,18
Hamat,6000,6000,6000,6000,1
Haret Sakher,8733,8400,19200,3600,9
Hazmieh,94428,75000,300000,9000,7
Hboub,8040,7200,12000,5400,5
Horsh Tabet,36471,24000,125000,5400,14
Hsoun,120000,120000,120000,120000,1
Jal el Dib,20530,9600,120000,5400,23
Jbeil,18457,9600,130000,2400,84
Jdeideh,18700,7800,72000,6000,6
Jeita,13500,13500,15000,12000,2
Jisr El Bacha,11100,11100,18000,4200,2
Jnah,31000,31000,31000,31000,1
Jounieh,32416,11750,300000,3600,36
Jouret Al Ballout,30000,30000,30000,30000,1
Kaslik,23918,14700,120000,4800,32
Kfar Aabida,218000,218000,400000,36000,2
Kfaryassine,11100,12000,14400,6000,4
Kfarzebian,21633,16500,60000,9600,12
Kfour,24000,24000,24000,24000,1
Klayaat,4800,4800,4800,4800,1
Kornet Chehwan,13000,10200,24000,4800,3
Koura,86000,100000,110000,48000,3
Laqlouq,13750,15000,18000,7000,4
Lehfed,19200,19200,19200,19200,1
Louaize,70666,40000,160000,12000,3
Mansourieh,24122,14400,130000,6300,18
Mar Roukoz,7800,7800,7800,7800,1
Mar Takla,28133,22800,40000,21600,3
Mastita,51000,51000,72000,30000,2
Mayrouba,30000,30000,30000,30000,1
Mazraat Yachouh,12000,12000,18000,8400,9
Mezher,10200,10200,12000,8400,2
Mkalles,29041,24000,68500,8000,12
Monsef,34800,18000,72000,14400,3
Monteverde,25200,25200,48000,9600,10
Mtayleb,22907,21600,36000,15000,13
Naccache,31800,18000,120000,5400,10
Nahr El Mot,48900,48000,90000,9600,4
Nahr Ibrahim,78333,12000,275000,6000,9
New Mar Takla,18000,18000,18000,18000,1
New Rawda,11000,11000,11000,11000,1
Ouyoun Al Simen,18246,18000,30000,9000,13
Qannabet Broumana,7650,7650,8700,6600,2
Qartaboun,7600,6000,12000,4800,3
Qornet El Hamra,6000,6000,6000,6000,1
Rabieh,39175,33000,84000,14400,8
Rabweh,14040,10200,24000,8400,5
Ras Beirut,38621,24000,260000,8400,55
Roumie,12600,12600,16800,8400,2
Sabtieh,16000,16000,16000,16000,1
Sad El Baouchriye,3600,3600,3600,3600,1
Safra,26400,30000,36000,13200,3
Sahel Alma,15350,13800,36000,7500,22
Sarba,22500,19500,42000,7200,6
Shayle,35050,16200,100000,7800,4
Sin El Fil,112022,42000,675000,6600,16
Smar Jbail,6000,6000,6000,6000,1
Tabarja,20256,12000,100000,6600,23
Thoum,18000,18000,18000,18000,1
Tilal Ain Saade,10800,10800,10800,10800,1
Wata El Joz,18000,18000,18000,18000,1
Yarzeh,45250,41500,100000,18000,8
Zaarour,9720,10800,12000,5400,5
Zalka,17754,12000,95000,1800,37
Zaroun,15000,15000,15000,15000,1
Zouk Mikael,8945,8400,12000,5400,11
Zouk Mosbeh,24920,12000,150000,4200,30
chnaniir,72000,72000,72000,72000,1
kfarhbeib,14893,14400,30000,4800,15
